Date,Load,Zone
1/2/2017 12:00:00 PM,1140,Hud Vl
1/2/2017 12:00:00 PM,2320,Longil
1/2/2017 12:00:00 PM,873,Mhk Vl
1/2/2017 12:00:00 PM,365,Millwd
1/2/2017 12:00:00 PM,5999,N.Y.C.
1/2/2017 12:00:00 PM,596,North
1/2/2017 12:00:00 PM,1748,West
1/2/2017 12:00:00 PM,18125,NYISO
1/2/2017 1:00:00 PM,1372,Capitl
1/2/2017 1:00:00 PM,1832,Centrl
1/2/2017 1:00:00 PM,722,Dunwod
1/2/2017 1:00:00 PM,1100,Genese
1/2/2017 1:00:00 PM,1129,Hud Vl
1/2/2017 1:00:00 PM,2313,Longil
1/2/2017 1:00:00 PM,850,Mhk Vl
1/2/2017 1:00:00 PM,362,Millwd
1/2/2017 1:00:00 PM,5995,N.Y.C.
1/2/2017 1:00:00 PM,585,North
1/2/2017 1:00:00 PM,1731,West
1/2/2017 1:00:00 PM,17991,NYISO
1/2/2017 2:00:00 PM,1390,Capitl
1/2/2017 2:00:00 PM,1815,Centrl
1/2/2017 2:00:00 PM,724,Dunwod
1/2/2017 2:00:00 PM,1098,Genese
1/2/2017 2:00:00 PM,1133,Hud Vl
1/2/2017 2:00:00 PM,2343,Longil
1/2/2017 2:00:00 PM,833,Mhk Vl
1/2/2017 2:00:00 PM,362,Millwd
1/2/2017 2:00:00 PM,6008,N.Y.C.
1/2/2017 2:00:00 PM,578,North
1/2/2017 2:00:00 PM,1732,West
1/2/2017 2:00:00 PM,18016,NYISO
1/2/2017 3:00:00 PM,1389,Capitl
1/2/2017 3:00:00 PM,1813,Centrl
1/2/2017 3:00:00 PM,722,Dunwod
1/2/2017 3:00:00 PM,1088,Genese
1/2/2017 3:00:00 PM,1126,Hud Vl
1/2/2017 3:00:00 PM,2356,Longil
1/2/2017 3:00:00 PM,836,Mhk Vl
1/2/2017 3:00:00 PM,361,Millwd
1/2/2017 3:00:00 PM,5996,N.Y.C.
1/2/2017 3:00:00 PM,580,North
1/2/2017 3:00:00 PM,1721,West
1/2/2017 3:00:00 PM,17988,NYISO
1/2/2017 4:00:00 PM,1445,Capitl
1/2/2017 4:00:00 PM,1855,Centrl
1/2/2017 4:00:00 PM,731,Dunwod
1/2/2017 4:00:00 PM,1114,Genese
1/2/2017 4:00:00 PM,1169,Hud Vl
